Comment,Designator,Footprint,LCSC
BCM857BS,"Q1,Q10,Q20,Q21,Q9",SOT-363_SC-70-6,C105887
1u,"C14,C15,C18,C19",C_0805_2012Metric,C126592
ADA4522-1,U1,SOIC-8_3.9x4.9mm_P1.27mm,C160794
10n,C13,C_0805_2012Metric,C161250
470u,"C16,C17",CP_Radial_D8.0mm_P3.50mm_P5.00mm,C178717
2k2,"R1,R15,R16",R_MiniMELF_MMA-0204,C1884620
560,"R10,R11,R14,R42,R5",R_MiniMELF_MMA-0204,C1884632
150,R43,R_MiniMELF_MMA-0204,C2074241
220,"R17,R18,R20,R21,R26,R29,R30,R31",R_MiniMELF_MMA-0204,C2074282
10,"R7,R8",R_MiniMELF_MMA-0204,C2074322
10k,"R2,R22,R23,R25,R4",R_MiniMELF_MMA-0204,C2084764
68,"R12,R13,R27,R28,R3,R38,R6,R9",R_MiniMELF_MMA-0204,C2086951
0R47,"R36,R37",R_MiniMELF_MMA-0204,C2089943
100u,"C6,C7,C8,C9",CP_Radial_D6.3mm_P2.50mm,C264049
100k,"R19,R41",R_MiniMELF_MMA-0204,C2836210
BCM847BS,"Q11,Q12,Q19,Q2,Q22",SOT-363_SC-70-6,C396099
1M,"R24,R39,R40",R_MiniMELF_MMA-0204,C4339242
100p,"C1,C11,C12,C4,C5",C_0805_2012Metric,C437488
47p,"C10,C2,C3",C_0805_2012Metric,C440149
1k,"RV1,RV2",Potentiometer_Bourns_3266W_Vertical,C780233
2SC3324,Q5,SOT-23-3,
2SA1312,Q3,SOT-23-3,
2SC3324,Q18,SOT-23-3,
2SA1312,Q16,SOT-23-3,
2SA1312,Q15,SOT-23-3,
2SA1312,Q23,SOT-23-3,
2SA1312,Q26,SOT-23-3,
2SA1312,Q8,SOT-23-3,
2SA1312,Q7,SOT-23-3,
2SC3324,Q6,SOT-23-3,
2SC3324,Q4,SOT-23-3,
2SC3324,Q13,SOT-23-3,
Power,J3,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical_MiddleGND,
2SC3324,Q17,SOT-23-3,
2SC3324,Q24,SOT-23-3,
2SA1312,Q14,SOT-23-3,
2SC3324,Q25,SOT-23-3,
D45H11,Q27,TO-220-3_Horizontal_TabUp,
D44H11,Q28,TO-220-3_Horizontal_TabUp,
